Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score,Reproj_Error_px
1771495727.3747435,215,30,IN2,IN2,30(IN2),74.93640477256788,33.861717224121094,33.87463078326416,20.462804637757337,53.8292121887207
1771495727.3747435,204,19,IN3,IN3,19(IN3),61.05928619248906,37.67712135314942,38.316133998314584,38.32403323883601,
1771495727.3747435,165,12,OUT1,OUT1,12(OUT1),93.43921152594548,,0.0,46.553358903360596,76.06485748291016
1771495727.3747435,151,11,OUT1,OUT1,11(OUT1),96.52301830284893,,0.0,76.79294750498842,
1771495727.3747435,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.417798,233,9,OUT3,OUT3,9(OUT3),51.8078797066822,46.42075881958008,46.42075881958008,48.967545944392874,122.469482421875
1771495727.417798,230,3,IN1,IN1,3(IN1),-1.0,,33.91790963067268,54.434237482060375,61.379878997802734
1771495727.417798,227,32,IN2,IN2,32(IN2),-1.0,,37.36333017470526,29.718574020902494,
1771495727.417798,225,20,IN3,IN3,20(IN3),88.35093754607749,,41.790608627892716,68.49308767289816,
1771495727.417798,219,31,IN2,IN2,31(IN2),80.94981514592081,33.861717224121094,34.54168894988897,24.6652195147392,60.5698356628418
1771495727.417798,215,30,IN2,IN2,30(IN2),74.7822108887215,33.861717224121094,33.870395538106095,20.281623672570387,50.33298873901367
1771495727.417798,204,19,IN3,IN3,19(IN3),60.3654324214174,37.35917015075684,37.99609743967917,38.07597569063138,64.76741027832031
1771495727.417798,165,12,OUT1,OUT1,12(OUT1),96.2146372501809,,0.0,46.553358903360596,
1771495727.417798,151,11,OUT1,OUT1,11(OUT1),96.21463632255805,,0.0,76.79294750498842,
1771495727.417798,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.472983,233,9,OUT3,OUT3,9(OUT3),52.424639874242196,46.42075881958008,46.42075881958008,49.22979122436471,
