Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score
1771504480.3585784,92,3,OUT2,OUT2,3(OUT2),70.92746194412739,32.9078670501709,33.29864794804391,77.01189495114919
1771504480.3585784,91,12,IN2,IN2,12(IN2),88.81351046535788,40.37969970703125,40.180533123801276,60.01758283234021
1771504480.3585784,87,11,IN2,IN2,11(IN2),-1.0,,33.591042667134886,42.42092737541438
1771504480.3585784,85,10,IN2,IN2,10(IN2),-1.0,,27.208423005897828,23.662722418736543
1771504480.3585784,82,2,IN1,IN1,2(IN1),49.957599708346855,56.118246459960936,55.95593848548114,28.958662130999645
1771504480.3585784,14,2,OUT1,OUT1,2(OUT1),88.65931613245475,,0.0,61.28281346281007
1771504480.3585784,5,1,OUT1,OUT1,1(OUT1),95.90625477036144,,107.28818569639571,91.58200472310428
1771504480.3585784,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504480.4116645,98,4,OUT1,OUT1,4(OUT1),59.90286310188684,27.18475914001465,31.15115088659388,62.43411231769444
1771504480.4116645,96,13,IN2,IN2,13(IN2),-1.0,,0.0,79.84
1771504480.4116645,94,3,OUT1,OUT1,3(OUT1),59.82576836354891,27.18475914001465,27.7081086238908,81.39966928105383
1771504480.4116645,92,3,OUT2,OUT2,3(OUT2),70.61907801076218,32.74889144897461,33.113452579547115,77.11298715772917
1771504480.4116645,91,12,IN2,IN2,12(IN2),88.1967516543822,40.37969970703125,40.24584416123927,59.30329898748202
1771504480.4116645,87,11,IN2,IN2,11(IN2),54.27492453036985,30.205288696289063,34.1760314556108,41.88682813724097
1771504480.4116645,85,10,IN2,IN2,10(IN2),54.42911601826577,30.205288696289063,28.827093392163913,23.4958243859192
1771504480.4116645,82,2,IN1,IN1,2(IN1),49.03246069317359,56.118246459960936,56.01190031215339,28.64538437816501
1771504480.4116645,14,2,OUT1,OUT1,2(OUT1),-1.0,,0.0,61.28281346281007
1771504480.4116645,5,1,OUT1,OUT1,1(OUT1),95.59787918873987,,106.65115318754562,91.58200472310428
1771504480.4116645,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504480.469153,98,4,OUT1,OUT1,4(OUT1),59.90286310188684,27.18475914001465,30.461289588986457,61.77627102637886
1771504480.469153,96,13,IN2,IN2,13(IN2),-1.0,,0.0,79.84
1771504480.469153,94,3,OUT1,OUT1,3(OUT1),59.82576836354891,27.18475914001465,27.536491044143535,81.44557880960383
1771504480.469153,92,3,OUT2,OUT2,3(OUT2),70.61907801076218,32.74889144897461,32.992440734729925,77.14543968583011
1771504480.469153,91,12,IN2,IN2,12(IN2),88.1967516543822,40.37969970703125,40.28973828701359,58.63540378226434
1771504480.469153,87,11,IN2,IN2,11(IN2),54.27492453036985,30.205288696289063,33.486170158003375,41.388868700735955
1771504480.469153,85,10,IN2,IN2,10(IN2),54.42911601826577,30.205288696289063,29.394643321666454,23.285299694952794
1771504480.469153,82,2,IN1,IN1,2(IN1),49.03246069317359,56.118246459960936,56.04757460821827,28.350071044392696
1771504480.469153,14,2,OUT1,OUT1,2(OUT1),-1.0,,0.0,61.28281346281007
1771504480.469153,5,1,OUT1,OUT1,1(OUT1),95.59787918873987,,105.9612918899382,91.58200472310428
1771504480.469153,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504480.5198762,98,4,OUT1,OUT1,4(OUT1),45.94865833397986,30.205288696289063,29.852609817563117,61.34620955882601
1771504480.5198762,96,13,IN2,IN2,13(IN2),-1.0,,0.0,79.84
1771504480.5198762,94,3,OUT1,OUT1,3(OUT1),60.905098520624385,26.70783405303955,27.264756550014493,81.50782598559775
1771504480.5198762,92,3,OUT2,OUT2,3(OUT2),73.08612286688754,32.271964645385744,32.75487739890364,77.12578437286398
1771504480.5198762,91,12,IN2,IN2,12(IN2),86.50065072997424,40.53867530822754,40.371370108862614,58.00400102243166
1771504480.5198762,87,11,IN2,IN2,11(IN2),53.349783370532954,29.887337493896485,32.877490386580035,41.01053634372353
1771504480.5198762,85,10,IN2,IN2,10(IN2),53.349780419036364,29.887337493896485,29.57388024629478,23.078468394117788
1771504480.5198762,82,2,IN1,IN1,2(IN1),47.64474830062817,56.118246459960936,56.07098868598396,27.971594776341416
1771504480.5198762,14,2,OUT1,OUT1,2(OUT1),88.81350680817724,,0.0,61.28281346281007
1771504480.5198762,5,1,OUT1,OUT1,1(OUT1),-1.0,,105.35261211851486,91.58200472310428
1771504480.5198762,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504480.5714047,98,4,OUT1,OUT1,4(OUT1),73.24030792963958,31.954013442993165,30.291953042897113,60.80381225279046
1771504480.5714047,96,13,IN2,IN2,13(IN2),-1.0,,0.0,79.84
1771504480.5714047,94,3,OUT1,OUT1,3(OUT1),73.24031327317898,31.954013442993165,27.883097995937344,81.43289493381882
1771504480.5714047,92,3,OUT2,OUT2,3(OUT2),72.31517016052162,31.954013442993165,32.491603068391704,77.17966340818776
1771504480.5714047,91,12,IN2,IN2,12(IN2),-1.0,,40.371370108862614,57.887993020386794
1771504480.5714047,87,11,IN2,IN2,11(IN2),-1.0,,32.259148940657184,40.92851527103608
1771504480.5714047,85,10,IN2,IN2,10(IN2),53.19559266173781,29.728361892700196,29.6269819743878,22.875233747016686
1771504480.5714047,82,2,IN1,IN1,2(IN1),70.00231985145847,,56.07098868598396,27.915651586788734
1771504480.5714047,14,2,OUT1,OUT1,2(OUT1),88.65931591115559,,0.0,61.28281346281007
1771504480.5714047,5,1,OUT1,OUT1,1(OUT1),95.75207008780697,,104.734270672592,91.58200472310428
1771504480.5714047,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504480.6284094,98,4,OUT1,OUT1,4(OUT1),46.56541915919499,30.046313095092774,30.211028111905232,60.52428003493694
1771504480.6284094,96,13,IN2,IN2,13(IN2),-1.0,,0.0,79.84
1771504480.6284094,94,3,OUT1,OUT1,3(OUT1),61.21348043627927,26.389882850646973,28.01132728908243,81.33962587461528
1771504480.6284094,92,3,OUT2,OUT2,3(OUT2),72.9319317241111,31.795041275024413,32.26292873595327,77.2265313572475
1771504480.6284094,91,12,IN2,IN2,12(IN2),86.26936711812724,40.53867530822754,40.43715033205244,57.38957830374798
1771504480.6284094,87,11,IN2,IN2,11(IN2),-1.0,,31.768288534195985,40.92851527103608
1771504480.6284094,82,2,IN1,IN1,2(IN1),45.33189696955272,55.95927085876465,56.0269250433459,27.616361086744764
1771504480.6284094,14,2,OUT1,OUT1,2(OUT1),88.81350687459474,,0.0,61.28281346281007
1771504480.6284094,5,1,OUT1,OUT1,1(OUT1),95.44368736384308,,104.05021439054855,91.58200472310428
1771504480.6284094,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504480.6878812,98,4,OUT1,OUT1,4(OUT1),47.18217881396461,29.887337493896485,30.104660422005722,60.33955328529984
1771504480.6878812,96,13,IN2,IN2,13(IN2),-1.0,,0.0,79.84
1771504480.6878812,94,3,OUT1,OUT1,3(OUT1),56.89615779864147,26.389882850646973,27.479620697614116,81.22643327673292
1771504480.6878812,92,3,OUT2,OUT2,3(OUT2),73.39450249110763,31.636065673828124,32.057262500429104,77.27815826602372
